model_name,device,dtype,input_length,max_new_tokens,quant_bits,trial,total_time_sec,generated_tokens,tokens_per_sec,decode_tokens_per_sec,peak_memory_mb,prefill_sec,decode_sec,ttft_sec,oom
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,32,8,1,2.2159146650000423,32,14.440989314901884,16.153133849180268,2463.3603515625,0.2348749300000179,1.9810397350000244,0.2348749300000179,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,32,8,2,2.211455932000007,32,14.470105208499312,16.18854827265415,2463.3603515625,0.23474996300001294,1.976705968999994,0.23474996300001294,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,32,8,3,2.206632640999999,32,14.501734183311221,16.23962792219213,2463.3603515625,0.23614414499999725,1.9704884960000015,0.23614414499999725,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,32,4,1,4.942032378999983,32,6.4750688676133645,6.809088034475791,2453.7353515625,0.24243092899999397,4.699601449999989,0.24243092899999397,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,32,4,2,4.9073614570000075,32,6.520815774504289,6.870457631289344,2453.7353515625,0.24973867299999597,4.6576227840000115,0.24973867299999597,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,32,4,3,4.907607337000002,32,6.520489069845073,6.865684439952008,2453.7353515625,0.24674645999999711,4.660860877000005,0.24674645999999711,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,32,3,1,2.1788104030000284,32,14.686913535908788,16.43135247202113,2463.3603515625,0.23131399000001807,1.9474964130000103,0.23131399000001807,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,32,3,2,2.2076298499999893,32,14.495183601544504,16.154380312799304,2463.3603515625,0.22674297099999308,1.9808868789999963,0.22674297099999308,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,32,3,3,2.193719571999992,32,14.587096914500298,16.294710525997733,2463.3603515625,0.22989211099999807,1.963827460999994,0.22989211099999807,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,64,8,1,5.858853373000045,64,10.923639136445669,11.379690840364312,2463.3603515625,0.23479900300003465,5.62405437000001,0.23479900300003465,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,64,8,2,5.862510269999973,64,10.916825225450786,11.373107411724638,2463.3603515625,0.23520036399997934,5.627309905999994,0.23520036399997934,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,64,8,3,5.81329338300003,64,11.009249969588138,11.467553630383714,2463.3603515625,0.23232973000000356,5.580963653000026,0.23232973000000356,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,64,4,1,16.37193337100001,64,3.9091290289126572,3.966214105582319,2453.7353515625,0.23563858300002494,16.136294787999987,0.23563858300002494,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,64,4,2,16.416032836000056,64,3.898627679377516,3.9616355843869573,2453.7353515625,0.2610890920000202,16.154943744000036,0.2610890920000202,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,64,4,3,16.241818964999993,64,3.94044534900405,4.0045493106790095,2453.7353515625,0.25999553500003003,15.981823429999963,0.25999553500003003,False
