method,input_length,max_new_tokens,total_time_sec,generated_tokens,tokens_per_sec,decode_tokens_per_sec,model_memory_mb,peak_memory_mb,prefill_sec,decode_sec,ttft_sec,total_time_sec_std,generated_tokens_std,tokens_per_sec_std,decode_tokens_per_sec_std,model_memory_mb_std,peak_memory_mb_std,prefill_sec_std,decode_sec_std,ttft_sec_std,success_rate,model_name,device,dtype,quant_bits,kv_cache_memory_mb,incremental_memory_bytes_per_token,kv_mb_per_token,ms_per_decode_token,prefill_tokens_per_sec,decode_tokens_per_sec_per_gb,max_feasible_context_tokens,baseline_peak_memory_mb,baseline_kv_cache_memory_mb,baseline_decode_tokens_per_sec,baseline_ttft_sec,baseline_prefill_sec,baseline_ms_per_decode_token,baseline_prefill_tokens_per_sec,memory_savings_mb,memory_savings_pct,throughput_ratio,throughput_loss_pct,decode_slowdown_factor,extra_ms_per_token,ttft_ratio,prefill_throughput_ratio,memory_saved_per_1pct_throughput_loss_mb
baseline_fp16,512,32,1.1819600186666623,32.0,27.07397234315526,28.23017295204808,14324.5234375,14552.7646484375,0.04840763999997457,1.133552378666688,0.04840763999997457,0.004805179767681452,0.0,0.11014894017921133,0.11914522547892924,0.0,0.0,3.426311828180895e-05,0.004780312875403609,3.426311828180895e-05,1.0,mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,,228.2412109375,439941.64705882355,0.41956104951746326,35.423091516251255,10576.842828947434,1.9864058686609072,63484.14990651166,14552.7646484375,228.2412109375,28.23017295204808,0.04840763999997457,0.04840763999997457,35.423091516251255,10576.842828947434,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
baseline_fp16,512,64,2.3659438059999807,64.0,27.05068786760789,27.616231835699363,14324.5234375,14552.7646484375,0.048450652999993765,2.3174931529999867,0.048450652999993765,0.0073173325736826545,0.0,0.08351576802747122,0.08740720371768972,0.0,0.0,5.501905386702202e-05,0.007348208737599377,5.501905386702202e-05,1.0,mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,,228.2412109375,415500.44444444444,0.3962521023220486,36.21058824931014,10567.45303309051,1.9432061249470154,67218.51166571824,14552.7646484375,228.2412109375,27.616231835699363,0.048450652999993765,0.048450652999993765,36.21058824931014,10567.45303309051,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
baseline_fp16,512,128,4.696905818333259,128.0,27.252099817898287,27.535713332729745,14324.5234375,14552.7646484375,0.048377006999923304,4.648528811333335,0.048377006999923304,0.011887157320166163,0.0,0.06892273564967732,0.07030965416870182,0.0,0.0,7.182582454056039e-05,0.011878203791669338,7.182582454056039e-05,1.0,mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,,228.2412109375,373950.4,0.35662689208984377,36.31647337101563,10583.54023432685,1.9375404697239205,74687.23518413136,14552.7646484375,228.2412109375,27.535713332729745,0.048377006999923304,0.048377006999923304,36.31647337101563,10583.54023432685,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
baseline_fp16,1024,32,1.2259977313333366,32.0,26.104889466069512,28.100975012862193,14324.5234375,14730.9013671875,0.08706110566663479,1.1389366256667017,0.08706110566663479,0.017888073962707675,0.0,0.38031632468550297,0.43960779892437657,0.0,0.0,5.513309323303402e-05,0.01784499664446123,5.513309323303402e-05,1.0,mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,,406.3779296875,403520.9696969697,0.3848275849313447,35.58595385186054,11761.853840002825,1.9534037799796113,69214.05222874528,14730.9013671875,406.3779296875,28.100975012862193,0.08706110566663479,0.08706110566663479,35.58595385186054,11761.853840002825,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
baseline_fp16,1024,64,2.3781954669999927,64.0,26.911740451633445,27.93475088529507,14324.5234375,14730.9013671875,0.08708907766670863,2.2911063893332844,0.08708907766670863,0.013504712546255388,0.0,0.15318593020983726,0.16507393630348685,0.0,0.0,1.0167498161190646e-05,0.013505237352546938,1.0167498161190646e-05,1.0,mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,,406.3779296875,391652.70588235295,0.37350912655101104,35.797706022372395,11758.07606918132,1.9418489197313527,71311.44775082846,14730.9013671875,406.3779296875,27.93475088529507,0.08708907766670863,0.08708907766670863,35.797706022372395,11758.07606918132,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
baseline_fp16,1024,128,4.726104934666637,128.0,27.083623965265563,27.59270336163483,14324.5234375,14730.9013671875,0.0871952789999947,4.638909655666642,0.0871952789999947,0.00357589496048482,0.0,0.02050013997014578,0.02276301541283491,0.0,0.0,0.0002511080854864912,0.0038252995110498447,0.0002511080854864912,1.0,mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,,406.3779296875,369894.22222222225,0.35275861952039933,36.24146524875884,11743.755071877942,1.91807191820935,75506.23879499485,14730.9013671875,406.3779296875,27.59270336163483,0.0871952789999947,0.0871952789999947,36.24146524875884,11743.755071877942,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
baseline_fp16,2048,32,1.2961751899999854,32.0,24.688059674999618,28.329816076645013,14324.5234375,15126.9248046875,0.16662037566667698,1.1295548143333083,0.16662037566667698,0.0019939455996258234,0.0,0.03794484699143294,0.05487727880581431,0.0,0.0,0.0001966128632472264,0.002190484486637761,0.0001966128632472264,1.0,mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,,802.4013671875,404509.04615384614,0.38576988807091345,35.29849954883385,12291.41389104182,1.9177547344913766,69044.98610737544,15126.9248046875,802.4013671875,28.329816076645013,0.16662037566667698,0.16662037566667698,35.29849954883385,12291.41389104182,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
baseline_fp16,2048,64,2.466226332666641,64.0,25.950964725332323,27.834598401296503,14324.5234375,15126.9248046875,0.16689010433333348,2.2993362283333076,0.16689010433333348,0.011661052387328487,0.0,0.12253177827916459,0.14127596074120516,0.0,0.0,0.00042855508609390713,0.011684674933956739,0.00042855508609390713,1.0,mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,,802.4013671875,398380.1212121212,0.3799248897668087,35.92651079720343,12271.548443096914,1.8842315362138433,70107.21666287353,15126.9248046875,802.4013671875,27.834598401296503,0.16689010433333348,0.16689010433333348,35.92651079720343,12271.548443096914,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
baseline_fp16,2048,128,4.762635412999998,128.0,26.876896491383793,27.85491160240917,14324.5234375,15126.9248046875,0.16720686799991802,4.59542854500008,0.16720686799991802,0.035860126545649414,0.0,0.2032489379851754,0.2190958834325067,0.0,0.0,0.00035698786113982044,0.035983539295220364,0.00035698786113982044,1.0,mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,,802.4013671875,386663.0588235294,0.36875062830307903,35.900311380399785,12248.300709759147,1.8856066153001707,72231.6777738697,15126.9248046875,802.4013671875,27.85491160240917,0.16720686799991802,0.16720686799991802,35.900311380399785,12248.300709759147,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
baseline_fp16,4096,32,1.4764658103334416,32.0,21.675877690068045,28.078818531285734,14324.5234375,15920.9716796875,0.33660384700003004,1.1398619633334117,0.33660384700003004,0.019488152950308976,0.0,0.28419900512692126,0.4678713808064495,0.0,0.0,0.0007043806216032419,0.019163155219932695,0.0007043806216032419,1.0,mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,,1596.4482421875,405522.6046511628,0.38673649277797967,35.6140340764619,12168.607211431052,1.805964532473872,68872.41586945631,15920.9716796875,1596.4482421875,28.078818531285734,0.33660384700003004,0.33660384700003004,35.6140340764619,12168.607211431052,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
baseline_fp16,4096,64,2.6288974193332706,64.0,24.34487568297978,27.916134106247863,14324.5234375,15920.9716796875,0.3363101153333143,2.2925873039999565,0.3363101153333143,0.005413390041489237,0.0,0.05011381713816319,0.056471520285581556,0.0,0.0,0.0008058296654758885,0.004638502544007529,0.0008058296654758885,1.0,mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,,1596.4482421875,402403.2,0.3837615966796875,35.82157888316605,12179.2352155108,1.7955010472927935,69406.31056611876,15920.9716796875,1596.4482421875,27.916134106247863,0.3363101153333143,0.3363101153333143,35.82157888316605,12179.2352155108,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
