model_name,device,dtype,input_length,max_new_tokens,trial,total_time_sec,generated_tokens,tokens_per_sec,decode_tokens_per_sec,model_memory_mb,peak_memory_mb,prefill_sec,decode_sec,ttft_sec,oom
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,32,1,1.1768887429998358,32,27.190335696842045,28.356315712212147,14324.5234375,14552.7646484375,0.0483923499998582,1.1284963929999776,0.0483923499998582,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,32,2,1.1864453680000224,32,26.97132195302177,28.119545417810485,14324.5234375,14552.7646484375,0.04844688599996516,1.1379984820000573,0.04844688599996516,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,32,3,1.182545945000129,32,27.060259379601955,28.2146577261216,14324.5234375,14552.7646484375,0.0483836840001004,1.1341622610000286,0.0483836840001004,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,64,1,2.3612250699998185,64,27.10457415226619,27.672106027848233,14324.5234375,14552.7646484375,0.048426761999962764,2.3127983079998558,0.048426761999962764,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,64,2,2.3743730590001633,64,26.954483735150735,27.515503426609367,14324.5234375,14552.7646484375,0.048411618000045564,2.3259614410001177,0.048411618000045564,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,64,3,2.3622332889999598,64,27.09300571540675,27.661086052640478,14324.5234375,14552.7646484375,0.048513578999973106,2.3137197099999867,0.048513578999973106,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,128,1,4.68632488299977,128,27.31351393590658,27.598052438644224,14324.5234375,14552.7646484375,0.048316447999923184,4.638008434999847,0.048316447999923184,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,128,2,4.694624142000066,128,27.265228509958572,27.54958625278032,14324.5234375,14552.7646484375,0.048456362000024455,4.646167780000042,0.048456362000024455,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,128,3,4.70976842999994,128,27.17755700782971,27.459501306764686,14324.5234375,14552.7646484375,0.048358210999822404,4.661410219000118,0.048358210999822404,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,32,1,1.2246808009999768,32,26.129257496215626,28.12785053515379,14324.5234375,14730.9013671875,0.08701832799988551,1.1376624730000913,0.08701832799988551,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,32,2,1.2088045170000896,32,26.47243582396179,28.526528477826098,14324.5234375,14730.9013671875,0.08704166300003635,1.1217628540000533,0.08704166300003635,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,32,3,1.2445078759999433,32,25.712975078031132,27.64854602560669,14324.5234375,14730.9013671875,0.08712332599998263,1.1573845499999607,0.08712332599998263,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,64,1,2.3891180120001536,64,26.78812837144852,27.801455785352697,14324.5234375,14730.9013671875,0.087080288000152,2.3020377240000016,0.087080288000152,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,64,2,2.363095689999909,64,27.08311824647374,28.11939723481626,14324.5234375,14730.9013671875,0.08708673199998884,2.2760089579999203,0.08708673199998884,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,64,3,2.382372698999916,64,26.86397473697807,27.88339963571625,14324.5234375,14730.9013671875,0.08710021299998516,2.2952724859999307,0.08710021299998516,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,128,1,4.727578139999878,128,27.075173843663492,27.583126741101132,14324.5234375,14730.9013671875,0.0870599999998376,4.64051814000004,0.0870599999998376,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,128,2,4.722027781999941,128,27.106998499231107,27.618690047430245,14324.5234375,14730.9013671875,0.08748502200000985,4.634542759999931,0.08748502200000985,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,128,3,4.728708882000092,128,27.068699552902086,27.576293296373112,14324.5234375,14730.9013671875,0.08704081500013672,4.641668066999955,0.08704081500013672,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,32,1,1.2950886809999247,32,24.708732667861113,28.35985745130436,14324.5234375,15126.9248046875,0.16673322099995858,1.1283554599999661,0.16673322099995858,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,32,2,1.2949604790001104,32,24.71117884980432,28.36311363209758,14324.5234375,15126.9248046875,0.1667345580001438,1.1282259209999665,0.1667345580001438,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,32,3,1.298476409999921,32,24.644267507333417,28.2664771465331,14324.5234375,15126.9248046875,0.16639334799992866,1.1320830619999924,0.16639334799992866,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,64,1,2.4637981689998014,64,25.976153730961375,27.85768494748437,14324.5234375,15126.9248046875,0.16640697799994086,2.2973911909998606,0.16640697799994086,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,64,2,2.478910295000105,64,25.81779587953879,27.683201077055713,14324.5234375,15126.9248046875,0.16703892500004258,2.3118713700000626,0.16703892500004258,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,64,3,2.4559705340000164,64,26.058944565496798,27.962909179349424,14324.5234375,15126.9248046875,0.1672244100000171,2.2887461239999993,0.1672244100000171,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,128,1,4.721245833000012,128,27.111488053708317,28.10771531418153,14324.5234375,15126.9248046875,0.16733604099999866,4.553909792000013,0.16733604099999866,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,128,2,4.782269223999947,128,26.765536193075153,27.736919183047437,14324.5234375,15126.9248046875,0.16748128899985204,4.614787935000095,0.16748128899985204,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,128,3,4.784391182000036,128,26.753665227367907,27.720100309998546,14324.5234375,15126.9248046875,0.16680327399990347,4.617587908000132,0.16680327399990347,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,32,1,1.498668888000111,32,21.35228151876976,27.543472486657112,14324.5234375,15920.9716796875,0.3368691180000951,1.161799770000016,0.3368691180000951,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,32,2,1.4685353300001225,32,21.790418893086713,28.283586161517164,14324.5234375,15920.9716796875,0.33713707600009,1.1313982540000325,0.33713707600009,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,32,3,1.4621932130000914,32,21.88493265834766,28.40939694568292,14324.5234375,15920.9716796875,0.33580534699990494,1.1263878660001865,0.33580534699990494,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,64,1,2.634585419999894,64,24.292247089108454,27.85808311564104,14324.5234375,15920.9716796875,0.3372270649999791,2.297358354999915,0.3372270649999791,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,64,2,2.6238084739998158,64,24.392024278523806,27.97088108032952,14324.5234375,15920.9716796875,0.3357146589999047,2.288093814999911,0.3357146589999047,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,64,3,2.628298364000102,64,24.350355681307082,27.919438122773023,14324.5234375,15920.9716796875,0.33598862200005897,2.292309742000043,0.33598862200005897,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,128,1,4.929667741999765,128,25.96523877450524,27.872580019639216,14324.5234375,15920.9716796875,0.3373408059999292,4.592326935999836,0.3373408059999292,False
