model_name,device,dtype,input_length,max_new_tokens,quant_bits,trial,total_time_sec,generated_tokens,tokens_per_sec,decode_tokens_per_sec,model_memory_mb,peak_memory_mb,prefill_sec,decode_sec,ttft_sec,oom
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,32,8,1,2.636897360000148,32,12.135474245382916,12.398563208620535,14324.5234375,14463.1875,0.05595314400011375,2.5809442160000344,0.05595314400011375,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,32,8,2,2.638078815999961,32,12.13003940819351,12.393693990277738,14324.5234375,14463.1875,0.05612060199996449,2.5819582139999966,0.05612060199996449,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,32,8,3,2.637427201999799,32,12.133036307404568,12.404616638579324,14324.5234375,14463.1875,0.05774248199986687,2.579684719999932,0.05774248199986687,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,32,4,1,6.329140522999978,32,5.055978751571812,5.113007951808954,14324.5234375,14447.1875,0.07059363600001234,6.258546886999966,0.07059363600001234,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,32,4,2,6.273850820999769,32,5.1005356858167445,5.1579984048052605,14324.5234375,14447.1875,0.06989388099987082,6.203956939999898,0.06989388099987082,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,32,4,3,6.357535853999934,32,5.033396701941798,5.090003681516955,14324.5234375,14447.1875,0.07070346599994082,6.286832387999993,0.07070346599994082,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,32,3,1,2.619792807000067,32,12.214706412849228,12.481574436533094,14324.5234375,14463.1875,0.05601368099996762,2.5637791260000995,0.05601368099996762,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,32,3,2,2.6510180220000166,32,12.070834575412706,12.334374539046163,14324.5234375,14463.1875,0.056642450000026656,2.59437557199999,0.056642450000026656,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,32,3,3,2.6348642939999536,32,12.144837999007992,12.411256538984004,14324.5234375,14463.1875,0.05655967999996392,2.5783046139999897,0.05655967999996392,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,64,8,1,7.617023234000044,64,8.402232477685473,8.464423138469932,14324.5234375,14463.1875,0.0559645589999036,7.56105867500014,0.0559645589999036,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,64,8,2,7.488578884999924,64,8.546347842872546,8.611439406802262,14324.5234375,14463.1875,0.05660416199998508,7.431974722999939,0.05660416199998508,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,64,8,3,7.437832930000013,64,8.604656840550986,8.67001161702588,14324.5234375,14463.1875,0.05606658100009554,7.381766348999918,0.05606658100009554,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,64,4,1,21.344150806999778,64,2.998479563731873,3.0083042392176975,14324.5234375,14447.1875,0.06970683099984853,21.27444397599993,0.06970683099984853,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,64,4,2,21.30695136500003,64,3.0037145579226276,3.014120643852037,14324.5234375,14447.1875,0.07356107900000097,21.23339028600003,0.07356107900000097,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,64,4,3,21.238791179000145,64,3.013354171647961,3.0235670903172736,14324.5234375,14447.1875,0.07173978300011186,21.167051396000033,0.07173978300011186,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,64,3,1,7.352912725999886,64,8.7040336782043,8.768367306389123,14324.5234375,14463.1875,0.05394841899988023,7.298964307000006,0.05394841899988023,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,64,3,2,7.366386838999915,64,8.688112829096124,8.75312547526524,14324.5234375,14463.1875,0.05471283399992899,7.311674004999986,0.05471283399992899,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,64,3,3,7.379743770999994,64,8.672387820766799,8.737668415930818,14324.5234375,14463.1875,0.05513531100018554,7.3246084599998085,0.05513531100018554,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,128,8,1,23.779691622999962,128,5.382744319366912,5.395135103419437,14324.5234375,14463.1875,0.0546138360000441,23.72507778699992,0.0546138360000441,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,128,8,2,23.65279250799972,128,5.411623171205198,5.424243394981693,14324.5234375,14463.1875,0.055031367999845315,23.597761139999875,0.055031367999845315,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,128,8,3,23.843504766999786,128,5.368338306420301,5.380781127001624,14324.5234375,14463.1875,0.05513705999987906,23.788367706999907,0.05513705999987906,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,128,4,1,77.21998534299973,128,1.6576019722283417,1.6590748672912883,14324.5234375,14447.1875,0.06855443199992806,77.1514309109998,0.06855443199992806,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,128,4,2,77.21706668799993,128,1.657664626360277,1.6591785890837094,14324.5234375,14447.1875,0.07045881699991696,77.14660787100001,0.07045881699991696,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,128,4,3,77.40278670400016,128,1.6536872307904256,1.6551808005585484,14324.5234375,14447.1875,0.06984521700019286,77.33294148699997,0.06984521700019286,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,128,3,1,23.622910172000502,128,5.418468726673414,5.430972218801829,14324.5234375,14463.1875,0.0543860030002179,23.568524169000284,0.0543860030002179,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,128,3,2,23.79991177400052,128,5.378171197249128,5.390846860924341,14324.5234375,14463.1875,0.05596146300013061,23.74395031100039,0.05596146300013061,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,128,3,3,23.662385076999726,128,5.409429336200701,5.421951463867445,14324.5234375,14463.1875,0.05464884899993194,23.607736227999794,0.05464884899993194,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,32,8,1,2.6146542339997723,32,12.238711942820807,12.686951940377256,14324.5234375,14593.1953125,0.09237779199975193,2.5222764420000203,0.09237779199975193,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,32,8,2,2.608312173000286,32,12.26847013606929,12.718989070104257,14324.5234375,14593.1953125,0.09238894800000708,2.5159232250002788,0.09238894800000708,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,32,8,3,2.6122550189998037,32,12.249952538038325,12.699337658701689,14324.5234375,14593.1953125,0.09243856399962169,2.519816455000182,0.09243856399962169,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,32,4,1,6.181698773000335,32,5.176570579557463,5.25904035071852,14324.5234375,14561.1953125,0.09693846200025291,6.084760311000082,0.09693846200025291,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,32,4,2,6.235874702000274,32,5.1315976553755,5.229204480828163,14324.5234375,14561.1953125,0.11639704200024426,6.11947766000003,0.11639704200024426,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,32,4,3,6.331163738000214,32,5.054363040389103,5.152287595010441,14324.5234375,14561.1953125,0.12033031500004654,6.210833423000167,0.12033031500004654,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,32,3,1,2.6179482099996676,32,12.22331285155716,12.673492844638501,14324.5234375,14593.1953125,0.09299314100007905,2.5249550689995885,0.09299314100007905,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,32,3,2,2.6173464479998074,32,12.226123150206043,12.673124604764073,14324.5234375,14593.1953125,0.09231801199985057,2.525028435999957,0.09231801199985057,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,32,3,3,2.593454293999912,32,12.338756103793163,12.795013762664237,14324.5234375,14593.1953125,0.09248003999982757,2.5009742540000843,0.09248003999982757,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,64,8,1,7.383956605999629,64,8.667439885548431,8.777254723705784,14324.5234375,14593.1953125,0.09238287199968909,7.29157373399994,0.09238287199968909,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,64,8,2,7.428605475999575,64,8.615345128607508,8.724512552047285,14324.5234375,14593.1953125,0.09295209499987322,7.335653380999702,0.09295209499987322,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,64,8,3,7.425622831000055,64,8.61880564857355,8.727673186242143,14324.5234375,14593.1953125,0.09262597899987668,7.3329968520001785,0.09262597899987668,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,64,4,1,21.01053906800007,64,3.0460903355628166,3.0601713527561962,14324.5234375,14561.1953125,0.09667751500001032,20.91386155300006,0.09667751500001032,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,64,4,2,21.17455187600035,64,3.0224960780652386,3.0397606762677856,14324.5234375,14561.1953125,0.12026280000009137,21.05428907600026,0.12026280000009137,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,64,4,3,21.155295660999855,64,3.0252472489895323,3.041656028423223,14324.5234375,14561.1953125,0.11412617899986799,21.041169481999987,0.11412617899986799,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,64,3,1,7.4220114660001855,64,8.622999343665848,8.731677561725405,14324.5234375,14593.1953125,0.09237755000003744,7.329633916000148,0.09237755000003744,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,64,3,2,7.3924333140003,64,8.657501161193078,8.767103885949851,14324.5234375,14593.1953125,0.09241715899997871,7.300016155000321,0.09241715899997871,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,64,3,3,7.389494927999749,64,8.660943761866017,8.770997682455135,14324.5234375,14593.1953125,0.0927195419999407,7.296775385999808,0.0927195419999407,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,128,8,1,23.808982932000163,128,5.376122128592197,5.397050413537086,14324.5234375,14593.1953125,0.09232472199983022,23.716658210000332,0.09232472199983022,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,128,8,2,23.75864495499991,128,5.387512639817572,5.408647171277033,14324.5234375,14593.1953125,0.09283797099988078,23.665806984000028,0.09283797099988078,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,128,8,3,23.98610125399955,128,5.336423733250801,5.35715411127708,14324.5234375,14593.1953125,0.09281811499977266,23.893283138999777,0.09281811499977266,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,128,4,1,77.31435762799993,128,1.655578652232686,1.6576538398447198,14324.5234375,14561.1953125,0.09678848099974857,77.21756914700018,0.09678848099974857,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,128,4,2,77.20278224599997,128,1.6579713356979688,1.6605671824937163,14324.5234375,14561.1953125,0.12068562900003599,77.08209661699993,0.12068562900003599,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,128,4,3,77.11265250100041,128,1.6599091828456998,1.662479273660809,14324.5234375,14561.1953125,0.11921142300025167,76.99344107800016,0.11921142300025167,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,128,3,1,23.608104833000198,128,5.421866808261429,5.443149963634534,14324.5234375,14593.1953125,0.09230959400019856,23.515795239,0.09230959400019856,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,128,3,2,23.759341966999727,128,5.38735458994547,5.408492281590832,14324.5234375,14593.1953125,0.0928572359998725,23.666484730999855,0.0928572359998725,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,128,3,3,23.722086326999943,128,5.395815453816694,5.417004887153348,14324.5234375,14593.1953125,0.09279252599981191,23.62929380100013,0.09279252599981191,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,32,8,1,2.691554340000039,32,11.889041036414497,12.70634602152209,14324.5234375,14852.7109375,0.17312772500008577,2.518426614999953,0.17312772500008577,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,32,8,2,2.6925410750000083,32,11.884684061876346,12.703248704211205,14324.5234375,14852.7109375,0.173500415000035,2.5190406599999733,0.173500415000035,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,32,8,3,2.699510718000056,32,11.853999981043726,12.66819616502533,14324.5234375,14852.7109375,0.17349994400001378,2.526010774000042,0.17349994400001378,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,32,4,1,6.326457073000256,32,5.05812331147682,5.205689434502315,14324.5234375,14788.7109375,0.17933661900042352,6.1471204539998325,0.17933661900042352,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,32,4,2,6.290664193000339,32,5.086903229647292,5.251774539536592,14324.5234375,14788.7109375,0.19748563800021657,6.093178555000122,0.19748563800021657,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,32,4,3,6.404511990000174,32,4.996477491175582,5.166494035372136,14324.5234375,14788.7109375,0.21075665399985155,6.193755336000322,0.21075665399985155,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,32,3,1,2.694807046000278,32,11.874690637867916,12.689872504859121,14324.5234375,14852.7109375,0.17311110400032703,2.521695941999951,0.17311110400032703,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,32,3,2,2.6971300410004915,32,11.864463156596523,12.677210732535535,14324.5234375,14852.7109375,0.17291547400009222,2.5242145670003993,0.17291547400009222,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,32,3,3,2.692725523000263,32,11.88386997734001,12.700173461549163,14324.5234375,14852.7109375,0.17307489800032272,2.51965062499994,0.17307489800032272,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,64,8,1,7.478457765999792,64,8.55791421206801,8.761393751423975,14324.5234375,14852.7109375,0.17368391199988764,7.3047738539999045,0.17368391199988764,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,64,8,2,7.467313697000009,64,8.5706858713746,8.774941439547229,14324.5234375,14852.7109375,0.17381772999988243,7.293495967000126,0.17381772999988243,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,64,8,3,7.4864187989996935,64,8.548813754388338,8.751897190120768,14324.5234375,14852.7109375,0.1737186370000927,7.312700161999601,0.1737186370000927,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,64,4,1,21.172479761999966,64,3.022791884532401,3.0485962205531454,14324.5234375,14788.7109375,0.17921093599989035,20.993268826000076,0.17921093599989035,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,64,4,2,21.21379622099994,64,3.0169046281610448,3.0483872406230206,14324.5234375,14788.7109375,0.21908821699980763,20.99470800400013,0.21908821699980763,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,64,4,3,21.054475332999573,64,3.039733785229503,3.067991081824542,14324.5234375,14788.7109375,0.19391925799982346,20.86055607499975,0.19391925799982346,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,64,3,1,7.481470697000077,64,8.554467776725069,8.756902564480265,14324.5234375,14852.7109375,0.17295041500028674,7.30852028199979,0.17295041500028674,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,64,3,2,7.511767643999974,64,8.519965344125096,8.721122539331256,14324.5234375,14852.7109375,0.17326279999997496,7.338504843999999,0.17326279999997496,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,64,3,3,7.458181680000052,64,8.581180071226093,8.78490479179869,14324.5234375,14852.7109375,0.17295759199987515,7.285224088000177,0.17295759199987515,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,128,8,1,23.796813787000247,128,5.3788713541946525,5.418382808635796,14324.5234375,14852.7109375,0.17352903200026049,23.623284754999986,0.17352903200026049,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,128,8,2,23.843275556999743,128,5.368389913290359,5.407802863913898,14324.5234375,14852.7109375,0.17377368699999352,23.66950186999975,0.17377368699999352,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,128,8,3,23.92880736699999,128,5.349200987614773,5.388268350587279,14324.5234375,14852.7109375,0.17349458899980164,23.75531277800019,0.17349458899980164,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,128,4,1,76.75988214500012,128,1.6675377348574718,1.6714360625927105,14324.5234375,14788.7109375,0.17902879099983693,76.58085335400028,0.17902879099983693,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,128,4,2,76.8161534599999,128,1.6663161878660433,1.6709673242350096,14324.5234375,14788.7109375,0.21381770900006813,76.60233575099983,0.21381770900006813,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,128,4,3,76.82014886700017,128,1.666229522955081,1.6705486329172254,14324.5234375,14788.7109375,0.19861419400012892,76.62153467300004,0.19861419400012892,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,128,3,1,23.641915094000524,128,5.414113006119451,5.454195652806135,14324.5234375,14852.7109375,0.1737434060000851,23.46817168800044,0.1737434060000851,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,128,3,2,23.67668422099996,128,5.40616240032761,5.445982431115534,14324.5234375,14852.7109375,0.17311959900007423,23.503564621999885,0.17311959900007423,False
